Voter_Id,Election_Year,State,Sex,Age_Range,Candidate_Supported,perceptions_of_electoral_integrity_index,State_Electoral_Integrity,National_Electoral_Integrity,Laws_Discriminated,Laws_Favored_Incumbent,Laws_Restricted_Citizen_Rights,Electoral_Laws_Index,Election_Managed_Well,Voting_Information_Available,Election_Officials_Fair,Election_Followed_Law,Election_Procedures_Index,Boundaries_Discriminated,Boundaries_Favored_Incumbent,Boundaries_Impartial,Voting_District_Boundaries_Index,Citizens_Not_Found_in_Register,Register_Inaccurate,Ineligible_Voters_Registered,Voter_Registration_Index,Opposition_Prevented,Women_Provided_Opportunity,Leaders_Selected_Candidates,Campaign_Rallies_Restricted,Party/Candidate_Registration_Index,Newspapers_Balanced,Television_Favored_Incumbent,Media_Access_Fair,Media_Coverage_Fair,Social_Media_Exposed_Fraud,Media_Coverage_Index,Subsidy_Access_Fair,Donation_Access_Fair,Campaign_Accounts_Transparent,Elections_Bought_by_Rich,Resources_Improperly_Used,Campaign_Finance_Index,Voters_Threatened_with_Violence,Fradulent_Votes_Cast,Voting_Process_Easy,Choice_of_Candidates,Postal_Ballots_Available,Disabled_Provided_Access,Expatriates_Able_to_Vote,Internet_Ballots_Available,Voting_Process_Index,Ballot_Boxes_Secure,Results_Announced_Without_Delay,Vote_Count_Fair,International_Monitors_Restricted,Domestic_Monitors_Restricted,Vote_Count_Index,Results_Challenged,Protests_Peaceful,Protests_Violent,Dispute_Resolved_in_Courts,Election_Results_Index,Authorities_Impartial,Information_Distributed,Authorities_Scrutinized,Authorities_Performed_Well,Electoral_Authorities_Index,Election_Rigged,Deadlines_Restrictive,Voters_Waited,Voters_Intimidated,Multiple_Ballots_Cast,Machines_Accurate,Records_Secure,Votes_Counted_Quickly,Outcome_Reflected_Popular_Will
CLI-2026-04,2016,Alabama,Male,50-59,Clinton,55.48,5,7,Agree,Agree,Agree,25,Disagree,Agree,Agree,Don't Know,64.69,Strongly Agree,Agree,Disagree,16.67,Don't Know,Don't Know,Don't Know,52.08,Agree,Neither Agree Nor Disagree,Disagree,Disagree,50,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,50,Not Applicable,Agree,Agree,Disagree,Agree,60.75,Don't Know,Don't Know,Neither Agree Nor Disagree,Disagree,Not Applicable,Agree,Don't Know,Not Applicable,60,Don't Know,Agree,Agree,Don't Know,Don't Know,73.5,Disagree,Agree,Disagree,Don't Know,63.13,Agree,Neither Agree Nor Disagree,Agree,Agree,68.75,Disagree,Disagree,Strongly Agree,Don't Know,Don't Know,Agree,Don't Know,Agree,Disagree
CLI-2026-04,2016,Alabama,Male,60-69,Clinton,,7,5,Strongly Agree,Strongly Agree,Agree,8.33,Agree,Agree,Neither Agree Nor Disagree,Agree,68.75,Strongly Agree,Strongly Agree,Strongly Disagree,0,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,16.67,Agree,Agree,Disagree,Disagree,65,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Disagree,55,Disagree,Disagree,Strongly Disagree,Agree,Neither Agree Nor Disagree,25,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Not Applicable,54.22,Don't Know,Agree,Agree,Don't Know,Don't Know,77,Strongly Disagree,Agree,Strongly Disagree,Don't Know,75,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,56.25,Strongly Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Agree,Don't Know,Agree,Agree
STE-2026-01,2016,Alabama,Male,60-69,Stein,53.49,7,6,Strongly Agree,Strongly Agree,Agree,8.33,Agree,Strongly Agree,Agree,Strongly Agree,87.5,Agree,Strongly Agree,Disagree,16.67,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,50,Neither Agree Nor Disagree,Agree,Strongly Agree,Don't Know,48.5,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,45,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,40,Neither Agree Nor Disagree,Disagree,Agree,Disagree,Don't Know,Agree,Agree,Don't Know,58.75,Don't Know,Agree,Don't Know,Don't Know,Don't Know,71.75,Disagree,Disagree,Disagree,Agree,75,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,62.5,Disagree,Disagree,Agree,Disagree,Don't Know,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree
CLI-2026-04,2016,Alabama,Male,50-59,Clinton,61.76,8,7,Agree,Agree,Neither Agree Nor Disagree,33.33,Agree,Agree,Agree,Agree,75,Agree,Strongly Agree,Disagree,16.67,Don't Know,Disagree,Disagree,62.08,Don't Know,Agree,Disagree,Disagree,73.25,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Don't Know,54.5,Don't Know,Agree,Agree,Neither Agree Nor Disagree,Don't Know,64.25,Don't Know,Don't Know,Agree,Agree,Neither Agree Nor Disagree,Agree,Don't Know,Strongly Disagree,64.06,Don't Know,Agree,Agree,Don't Know,Disagree,73.5,Disagree,Agree,Disagree,Agree,62.5,Agree,Agree,Agree,Agree,75,Disagree,Strongly Agree,Strongly Agree,Don't Know,Disagree,Agree,Agree,Agree,Strongly Disagree
CLI-2026-04,2016,Alabama,Male,40-49,Clinton,66.43,8,7,Neither Agree Nor Disagree,Strongly Agree,Disagree,41.67,Strongly Agree,Agree,Strongly Agree,Strongly Agree,93.75,Don't Know,Agree,Agree,44.58,Don't Know,Don't Know,Don't Know,57.5,Don't Know,Neither Agree Nor Disagree,Don't Know,Don't Know,65.5,Disagree,Neither Agree Nor Disagree,Don't Know,Agree,Don't Know,51.25,Don't Know,Agree,Agree,Disagree,Don't Know,68,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Don't Know,Agree,Don't Know,67.5,Agree,Agree,Agree,Don't Know,Don't Know,76,Disagree,Disagree,Disagree,Don't Know,77.19,Agree,Agree,Don't Know,Agree,74.06,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree
CLI-2026-04,2016,Alabama,Male,40-49,Clinton,60.56,8,7,Agree,Agree,Agree,25,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Strongly Agree,Agree,Strongly Disagree,8.33,Don't Know,Don't Know,Don't Know,45.42,Don't Know,Neither Agree Nor Disagree,Don't Know,Don't Know,67.5,Agree,Agree,Disagree,Neither Agree Nor Disagree,Don't Know,42.5,Agree,Disagree,Agree,Strongly Agree,Don't Know,48.75,Disagree,Don't Know,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,66.72,Agree,Strongly Agree,Agree,Don't Know,Don't Know,82.5,Don't Know,Disagree,Disagree,Agree,72.81,Agree,Agree,Agree,Agree,75,Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Disagree
STE-2026-01,2016,Alaska,Male,70-79,Stein,52.3,8,4,Agree,Strongly Agree,Agree,16.67,Neither Agree Nor Disagree,Agree,Agree,Agree,68.75,Strongly Agree,Agree,Disagree,16.67,Don't Know,Don't Know,Disagree,62.5,Disagree,Agree,Neither Agree Nor Disagree,Disagree,70,Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,55,Neither Agree Nor Disagree,Disagree,Agree,Agree,Agree,40,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Disagree,65.63,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Not Applicable,Disagree,60,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,50,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,37.5,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Don't Know,Disagree,Agree,Agree,Don't Know,Don't Know
TRU-2026-03,2016,Alaska,Male,60-69,Trump,72.47,9,8,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,83.33,Agree,Agree,Agree,Agree,75,Strongly Disagree,Neither Agree Nor Disagree,Agree,75,Don't Know,Don't Know,Don't Know,62.08,Disagree,Strongly Agree,Disagree,Disagree,85,Disagree,Strongly Disagree,Agree,Disagree,Don't Know,55,Not Applicable,Agree,Don't Know,Disagree,Disagree,65.5,Disagree,Don't Know,Agree,Strongly Agree,Not Applicable,Don't Know,Agree,Not Applicable,75.16,Agree,Agree,Agree,Don't Know,Don't Know,76,Disagree,Don't Know,Not Applicable,Not Applicable,70.31,Agree,Agree,Agree,Agree,75,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Don't Know,Agree,Agree,Strongly Agree,Strongly Agree
STE-2026-01,2016,Alaska,Male,50-59,Stein,71.94,9,9,Agree,Disagree,Strongly Disagree,66.67,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Disagree,Disagree,Neither Agree Nor Disagree,66.67,Don't Know,Don't Know,Don't Know,53.75,Disagree,Strongly Agree,Disagree,Disagree,85,Neither Agree Nor Disagree,Strongly Agree,Don't Know,Strongly Disagree,Don't Know,36,Don't Know,Don't Know,Don't Know,Agree,Don't Know,51.5,Strongly Disagree,Don't Know,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Don't Know,81.88,Don't Know,Strongly Agree,Don't Know,Don't Know,Don't Know,78,Disagree,Disagree,Strongly Disagree,Strongly Agree,87.5,Don't Know,Agree,Agree,Agree,76.56,Strongly Disagree,Disagree,Disagree,Disagree,Don't Know,Agree,Agree,Agree,Agree
CLI-2026-04,2016,Arizona,Female,50-59,Clinton,51.84,4,4,Disagree,Disagree,Disagree,75,Disagree,Disagree,Don't Know,Agree,49.38,Don't Know,Agree,Disagree,23.33,Agree,Agree,Don't Know,38.75,Don't Know,Agree,Disagree,Disagree,69.25,Disagree,Disagree,Agree,Strongly Disagree,Neither Agree Nor Disagree,45,Neither Agree Nor Disagree,Disagree,Don't Know,Agree,Don't Know,42,Agree,Don't Know,Neither Agree Nor Disagree,Disagree,Strongly Agree,Don't Know,Don't Know,Disagree,55,Don't Know,Disagree,Agree,Not Applicable,Don't Know,61.5,,,,,59.69,Don't Know,Disagree,Don't Know,Disagree,40.94,Disagree,Agree,Strongly Agree,Don't Know,Disagree,Agree,Agree,Disagree,Disagree
